c_estate,e_estate,pc_addr,pe_addr,scp_mktc,scp_mkte,min_opdate,max_opdate,blgcount,pc_dev,pe_dev,facilities_c,facilities_e,url
聚賢居,CENTRE STAGE,荷李活道108號,108 HOLLYWOOD ROAD,香港,HK,2006,2006,2,恆基,HENDERSON,室外泳池、健身室、按摩池,Swimming Pool、Gymnasium、Jacuzzi,http://hk.centadata.com/ptest.aspx?type=2&code=SEPPWPPAPE&ref=OpenData
杏花村,HENG FA CHUEN,盛泰道 100 號,100 SHING TAI ROAD,香港,HK,1986,1989,48,港鐵/杏花發展,MTR/HANG FA CHUEN DEV,室外泳池、遊樂場 / 遊戲室、健身室、蒸氣浴室、壁球場、網球場、籃球場、羽毛球場、桌球室,Swimming Pool、Playground/Playroom、Gymnasium、Steam Bath Room、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room,http://hk.centadata.com/ptest.aspx?type=2&code=SGKEPPGYPE&ref=OpenData
藍灣半島,ISLAND RESORT,小西灣道28號,28 SIU SAI WAN ROAD,香港,HK,2001,2001,8,信和/維德集團/中銀香港,SINO GROUP/VICWOOD/BOC,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、壁球場、網球場、籃球場、桌球室、保齡球場、燒烤場、音樂室、電腦室、健康舞室、麻雀房,Swimming Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Squash Court、Tennis Court、Basketball Court、Snooker Room、Bowling、Barbecue Area、Music Room、Computer Room、Aerobic Studio、Marjong,http://hk.centadata.com/ptest.aspx?type=2&code=SGPPWPPEPB&ref=OpenData
逸濤灣,LES SAISONS,太安街28號,28 TAI ON STREET,香港,HK,2001,2001,4,太古/新鴻基/中華汽車,SWIRE/SUN HUNG KAI/CMB,室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、桑拿浴室、乒乓球室、桌球室、高爾夫球練習場、音樂室、閱讀室 / 溫習室、健康舞室,Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Saunna Room、Table Tennis、Snooker Room、Golf Driving Range、Music Room、Reading/Study Room、Aerobic Studio,http://hk.centadata.com/ptest.aspx?type=2&code=SGPPWPPEPS&ref=OpenData
嘉雲臺,CAVENDISH HEIGHTS,白建時道 33 號,33 PERKINS ROAD,香港,HK,1986,1988,8,長實/港燈,CK HUTCHISON/HK ELECTRIC,,,http://hk.centadata.com/ptest.aspx?type=2&code=SKKGBPBSPW&ref=OpenData
禮頓山,THE LEIGHTON HILL,禮頓山園,1 LEIGHTON HILL ROAD,香港,HK,2002,2002,8,新鴻基,SUN HUNG KAI,室內泳池、室外泳池、兒童嬉水池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、網球場、桌球室、宴會廳、多用途活動室,Indoor Swimming Pool、Swimming Pool、Children's Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Tennis Court、Snooker Room、Ball Room、Multi-purpose Room,http://hk.centadata.com/ptest.aspx?type=2&code=SKPPWPPJPK&ref=OpenData
光明臺,ILLUMINATION TERRACE,大坑道 7 號,7 TAI HANG ROAD,香港,HK,1993,1993,2,新世界,NEW WORLD,兒童遊樂場 / 兒童遊戲室、桑拿浴室、乒乓球室、羽毛球場、桌球室、園林花園,Children Playground/Play Room、Saunna Room、Table Tennis、Badminton Court、Snooker Room、Landscape Garden,http://hk.centadata.com/ptest.aspx?type=2&code=SKYAWPBXPB&ref=OpenData
寶翠園,THE BELCHER'S,薄扶林道89號,89 POK FU LAM ROAD,香港,HK,2000,2001,6,新鴻基/信德/新世界/廖創興,SUN HUNG KAI/SHUN TAK/NEW WORLD/ LIU CHONG HING,室內泳池、室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、桑拿浴室、蒸氣浴室、壁球場、網球場、籃球場、羽毛球場、桌球室、高爾夫球練習場、太極圈,Indoor Swimming Pool、Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Saunna Room、Steam Bath Room、Squash Court、Tennis Court、Basketball Court、Badminton Court、Snooker Room、Golf Driving Range、Tai Chi Circle,http://hk.centadata.com/ptest.aspx?type=3&code=SSPPWPPAPS&ref=OpenData
帝后華庭,QUEEN'S TERRACE,皇后街1號,1 QUEEN STREET,香港,HK,2003,2003,3,新世界/長江/市建局,NEW WORLD/CK HUTCHISON/URBAN RENEWAL AUTHORITY,兒童遊樂場 / 兒童遊戲室,Children Playground/Play Room,http://hk.centadata.com/ptest.aspx?type=2&code=SSPPWPPJPA&ref=OpenData
泓都,THE MERTON,堅尼地城新海旁街38號,38 NEW PRAYA KENNEDY TOWN,香港,HK,2004,2004,3,新世界/市建局,NEW WORLD/URBAN RENEWAL AUTHORITY,室外泳池、兒童遊樂場 / 兒童遊戲室、健身室、按摩池、日光浴場、桑拿浴室、蒸氣浴室、乒乓球室、桌球室、卡拉OK室、可養狗、音樂室、閱讀室 / 溫習室、電腦室、健康舞室、柔道 / 瑜伽練習室,Swimming Pool、Children Playground/Play Room、Gymnasium、Jacuzzi、Solarium、Saunna Room、Steam Bath Room、Table Tennis、Snooker Room、Karaoke Room、Pet Friendly、Music Room、Reading/Study Room、Computer Room、Aerobic Studio、Judo/Yoga Room,http://hk.centadata.com/ptest.aspx?type=2&code=SSPPWPPYPS&ref=OpenData
香港黃金海岸,HONG KONG GOLD COAST,青山公路青山灣1號,1 CASTLE PEAK ROAD,新界西,NW,1990,1995,30,信和,SINO GROUP,室外泳池、兒童遊樂場 / 兒童遊戲室、遊樂場 / 遊戲室、健身室、桑拿浴室、蒸氣浴室、乒乓球室、壁球場、網球場、桌球室、保齡球場、高爾夫球練習場、電腦室、緩跑徑,Swimming Pool、Children Playground/Play Room、Playground/Playroom、Gymnasium、Saunna Room、Steam Bath Room、Table Tennis、Squash Court、Tennis Court、Snooker Room、Bowling、Golf Driving Range、Computer Room、Jogging Trail,http://hk.centadata.com/ptest.aspx?type=2&code=SUQRFROHRD&ref=OpenData
香港仔中心,ABERDEEN CENTRE,南寧街 11 號,11 NAM NING STREET,香港,HK,1979,1982,20,和記黃埔,HUTCHISON WHAMPOA,壁球場,Squash Court,http://hk.centadata.com/ptest.aspx?type=2&code=TIXSIHNOHD&ref=OpenData
